SYPTCODE,SYPTSERL,SYPTSMTP,SYPTPRTM,SYPTCHCO,SYPTGNDT
C0000820,1,Therapeutic or Preventive Procedure,Therapeutic Abortion,for therapeutic termination of pregnancy,20070305
C0000820,2,Therapeutic or Preventive Procedure,Therapeutic Abortion,for therapeutic abortion,20070305
C0000820,3,Therapeutic or Preventive Procedure,Therapeutic Abortion,for medical termination,20070305
C0000821,0,Disease or Syndrome,Threatened abortion,Threatened abortion,20091204
C0000832,0,Disease or Syndrome,Abruptio Placentae,placenta abruption,20070305
C0000833,0,Pathologic Function             ,Abscess               ,Abscess               ,20040507
C0000833,1,Pathologic Function,Abscess,농양,20070305
C0000833,2,Pathologic Function,Abscess,Pus Pocket,20070305
C0000833,3,Pathologic Function,Abscess,Abscess NOS (disorder),20070305
C0000833,4,Pathologic Function,Abscess,abscess formation,20070305
C0000873,0,Finding,Academic Problem,Academic problem (finding),20070305
C0000880,0,Disease or Syndrome,Acanthamoeba Keratitis,"Keratitis, Acanthamoeba",20070305
C0000905,0,"Body Part, Organ, or Organ Component",Accessory nerve structure,Accessory nerve structure (body structure),20070305
C0000924,0,Phenomenon or Process,Accidents,우발,20070305
C0000924,1,Phenomenon or Process,Accidents,재해,20070305
C0000924,2,Phenomenon or Process,Accidents,Accidental physical contact (finding),20070305
C0000924,3,Phenomenon or Process,Accidents,accident,20070305
C0000925,0,Injury or Poisoning,Incised wound,절창,20070305
C0000932,0,Phenomenon or Process,Traffic accidents,car accident,20050610
C0000932,1,Phenomenon or Process,Traffic accidents,motor vehicle collison,20070305
C0000932,2,Phenomenon or Process,Traffic Accident,Pedestrian TA,20070305
C0000932,3,Phenomenon or Process,Traffic Accident,Car accident,20070305
C0000932,4,Phenomenon or Process,Traffic Accident,in car trauma,20070305
C0000932,5,Phenomenon or Process,Traffic Accident,TA,20070305
C0000932,6,Phenomenon or Process,Traffic Accident,TA - Traffic accident,20070305
C0000932,7,Phenomenon or Process,Traffic Accident,TA-Traffic accident,20070305
C0000932,8,Phenomenon or Process,Traffic Accident,car trauma,20070305
C0000932,9,Phenomenon or Process,Traffic Accident,automotorcycle TA,20070305
C0000962,0,"Body Part, Organ, or Organ Component",Bone structure of acetabulum,비구 뼈구조,20070305
C0000962,1,"Body Part, Organ, or Organ Component",Bone structure of acetabulum,acetabulum,20070305
C0001074,0,"Body Part, Organ, or Organ Component",Achilles tendon,아킬레스힘줄,20070305
C0001074,1,"Body part, organ or organ component",Achilles tendon,Achilles,20070305
C0001080,0,Disease or Syndrome,Achondroplasia,Chondrodystrophia Foetalis,20070305
C0001122,0,Pathologic Function,Acidosis,Acidosis NOS (disorder),20070305
C0001125,0,Disease or Syndrome,"Acidosis, Lactic",Lactic Acidosis,20070305
C0001126,0,Disease or Syndrome,Renal tubular acidosis,신세뇨관산증,20070305
C0001126,1,Disease or Syndrome,Renal tubular acidosis,"Acidosis, Renal Tubular",20070305
C0001126,2,Disease or Syndrome,Renal tubular acidosis,Hypokalemia Due To Renal Tubular Acidosis,20070305
C0001127,0,Disease or Syndrome,"Acidosis, Respiratory",respiration acidosis,20070305
C0001127,1,Disease or Syndrome,"Acidosis, Respiratory",Respiratory Acidosis,20070305
C0001128,0,Chemical,acids,acid,20070305
C0001162,0,"Body Part, Organ, or Organ Component",Acoustic Nerve,Vestibulocochlear nerve structure (body structure),20070305
C0001168,0,Acquired Abnormality,Complete obstruction,완전폐쇄,20070305
C0001168,1,Acquired Abnormality,Complete obstruction,Complete obstruction (morphologic abnormality),20070305
C0001175,0,Disease or Syndrome,Acquired Immunodeficiency Syndrome,에이즈,20070305
C0001175,1,Disease or Syndrome,Acquired Immunodeficiency Syndrome,for evaluation of AIDS,20070305
C0001175,2,Disease or Syndrome,Acquired Immunodeficiency Syndrome,AIDS,20070305
C0001193,0,Disease or Syndrome,Apert Syndrome,Apert's Syndrome,20070305
C0001197,0,Disease or Syndrome,Acrodermatitis,손발피부염,20070305
C0001206,0,Disease or Syndrome,Acromegaly,for evaluation acromegaly,20070305
C0001206,1,Disease or Syndrome,Acromegaly,acromegaly evaluation,20070305
C0001206,2,Disease or Syndrome,Acromegaly,for acromegaly evaluation and manaement,20070305
C0001209,0,"Body part, organ or organ component",Acromion,견봉,20070305
C0001209,1,"Body part, organ or organ component",Acromion,Acromial area,20070305
C0001231,0,Disease or Syndrome,"ACTH Syndrome, Ectopic",Ectopic Cushing's Syndrome,20070305
C0001231,1,Disease or Syndrome,"ACTH Syndrome, Ectopic",Ectopic Acth Syndrome,20070305
C0001249,0,Disease or Syndrome,Actinobacillus Infections,Actinobacillus Infection,20070305
C0001250,0,Bacterium,Actinomyces,방선균,20070305
C0001261,0,Disease or Syndrome,Actinomycosis,방선균증,20070305
C0001264,0,Disease or Syndrome,"Actinomycosis, Cervicofacial",목얼굴방선균증,20070305
C0001264,1,Disease or Syndrome,"Actinomycosis, Cervicofacial",Cervicofacial Actinomycosis,20070305
C0001288,0,Daily or Recreational Activity,Activities of Daily Living,"Activity of daily living, function (observable entity)",20070305
C0001288,1,Daily or Recreational Activity,Activities of Daily Living,ADL - activities of daily living,20070305
C0001306,0,Disease or Syndrome,Acute alcoholic liver disease,Acute Alcoholic Hepatitis,20070305
C0001309,0,Disease or Syndrome,Acute atopic conjunctivitis,"Conjunctivitis, Acute Allergic",20070305
C0001327,0,Disease or Syndrome,Acute laryngitis NOS,"Laryngitis, Acute",20070305
C0001327,1,Disease or Syndrome,Acute laryngitis NOS,Acute laryngitis NOS (disorder),20070305
C0001339,0,Disease or Syndrome,Acute pancreatitis unspecified,acute pancreatitis,20070305
C0001339,1,Disease or Syndrome,Acute pancreatitis unspecified,"Pancreatitis, Acute",20070305
C0001339,2,Disease or Syndrome,Acute pancreatitis unspecified,acute alcoholic pancreatitis,20070305
C0001342,0,Disease or Syndrome,Acute Periodontitis,급성치주염,20070305
C0001344,0,Disease or Syndrome,Acute pharyngitis NOS,acute pharyngitis,20070305
C0001360,0,Disease or Syndrome,Acute thyroiditis NOS,Acute Thyroiditis,20070305
C0001361,0,Disease or Syndrome,Acute tonsillitis,APT,20050610
C0001361,1,Disease or Syndrome,Acute tonsillitis,Acute tonsillitis NOS (disorder),20070305
C0001361,2,Disease or Syndrome,Acute tonsillitis,APT - Acute pharyngotonsillitis,20070305
C0001418,0,Neoplastic Process,Adenocarcinoma,adeno ca.-adenocarcinoma,20070305
C0001420,0,Neoplastic Process,Papillary adenocarcinoma,Papillary adenocarcinoma (morphologic abnormality),20070305
C0001425,0,Therapeutic or Preventive Procedure,Adenoidectomy,Adenoidectomy (procedure),20070305
C0001428,0,"Body Part, Organ, or Organ Component",Adenoidal structure,Adenoidal structure (body structure),20070305
C0001428,1,"Body Part, Organ, or Organ Component",Adenoidal structure,adenoid,20070305
C0001429,0,Neoplastic Process,Adenolymphoma,Warthin's Tumor,20070305
C0001430,0,Neoplastic Process,Adenoma,"Adenoma, no subtype (morphologic abnormality)",20070305
C0001486,0,Disease or Syndrome,Adenovirus Infections,Adenoviridae Infection,20070305
C0001486,1,Disease or Syndrome,Adenovirus Infections,Adenovirus Infection,20070305
C0001510,0,Acquired Abnormality,Postoperative adhesion,"Adhesion, Postoperative",20070305
C0001511,0,Acquired Abnormality,Adhesions,붙음,20070305
C0001511,1,Acquired Abnormality,Adhesions,Adhesion (morphologic abnormality),20070305
C0001516,0,Manufactured Object,Adhesives,adhesive,20070305
C0001519,0,Disease or Syndrome,Adie Syndrome,Adie's Syndrome,20070305
C0001546,0,Mental or Behavioral Dysfunction,Adjustment Disorder,Adjustment Disorder Unspecified,20070305
C0001552,0,Chemical Viewed Functionally,Pharmaceutical Adjuvants,adjuvant,20070305
C0001563,0,Therapeutic or Preventive Procedure,"Administration, Oral",경구투여,20070305
C0001563,1,Therapeutic or Preventive Procedure,"Administration, Oral",P.O med-per oral medication,20070305
C0001565,0,Therapeutic or Preventive Procedure,Sublingual drug administration,SL-Sublingual,20070305
C0001575,0,"Body Part, Organ, or Organ Component",Uterine adnexae structure,adnexa,20070305
C0001578,0,Temporal Concept,Adolescence,청소년,20070305
C0001578,1,Temporal Concept,Adolescence,"Adolescence, function (observable entity)",20070305
C0001613,0,"Body Part, Organ, or Organ Component",Adrenal Cortex,부신피질,20070305
C0001613,1,"Body Part, Organ, or Organ Component",Adrenal Cortex,Cortex of Adrenal Gland,20070305
C0001614,0,Disease or Syndrome,Adrenal Cortex Diseases,부신피질병,20070305
C0001617,0,Pharmacologic Substance,Adrenal Cortex Hormones,부신피질호르몬,20070305
C0001617,1,Steroid,Adrenal Cortex Hormones,Corticoid preparation (product),20070305
C0001618,0,Neoplastic Process,Tumors of Adrenal Cortex,부신피질종양,20070305
C0001618,1,Neoplastic Process,Tumors of Adrenal Cortex,Adrenal Cortex Neoplasm,20070305
C0001621,0,Disease or Syndrome,Adrenal Gland Diseases,Unspecified Adrenal Gland Disease,20070305
C0001621,1,Disease or Syndrome,Adrenal Gland Diseases,Adrenal Gland Disease,20070305
C0001623,0,Disease or Syndrome,Adrenal gland hypofunction,Adrenal Insufficiency,20070305
C0001624,0,Neoplastic Process,Adrenal Gland Neoplasms,Adrenal Gland Tumor,20070305
C0001624,1,Neoplastic Process,Adrenal Gland Neoplasms,Nonspecific Adrenal Gland Neoplasm,20070305
C0001624,2,Neoplastic Process,Adrenal Gland Neoplasms,Adrenal Gland Neoplasm,20070305
C0001624,3,Neoplastic Process,Adrenal Gland Neoplasms,Other Type of Adrenal Gland Neoplasm,20070305
C0001624,4,Neoplastic Process,Adrenal Gland Neoplasms,for adrenal tumor op.,20070305
C0001624,5,Neoplastic Process,Adrenal Gland Neoplasms,Feminizing Adrenal Neoplasm,20070305
C0001624,6,Neoplastic Process,Adrenal Gland Neoplasms,Adrenal Tumor,20070305
C0001624,7,Neoplastic Process,Adrenal Gland Neoplasms,Tumor of adrenal gland,20070305
C0001625,0,"Body Part, Organ, or Organ Component",Adrenal Glands,adrenal,20070305
C0001627,0,Congenital Abnormality,Congenital Adrenal Hyperplasia,선천콩팥위샘과다형성,20070305
C0001632,0,Therapeutic or Preventive Procedure,Adrenalectomy,for adrenalectomy,20070305
C0001645,0,Pharmacologic Substance,Adrenergic beta-Antagonists,beta blocker,20070305
C0001645,1,Pharmacologic Substance,Adrenergic beta-Antagonists,beta-Blocking agent (product),20070305
C0001655,0,"Amino Acid, Peptide, or Protein",Corticotropin,Adrenocorticotropic hormone (substance),20070305
C0001655,1,Hormone,Corticotropin,ACTH-Adrenocorticotrophic hormone,20070305
C0001675,0,Age Group,Adult,Adult (person),20070305
C0001688,0,Functional Concept,aspects of adverse effects,유해효과면,20070305
C0001688,1,Functional Concept,aspects of adverse effects,Side effects,20070305
C0001688,2,Functional Concept,aspects of adverse effects,Adversely effect,20070305
C0001707,0,Mental or Behavioral Dysfunction,Aerophagy,Pathologic Aerophagia,20070305
C0001721,0,Mental Process,Affect,"Affect, function (observable entity)",20070305
C0001779,0,Temporal Concept,Age,연령,20070305
C0001779,1,Organism Attribute,Age,"Age, function (observable entity)",20070305
C0001792,0,Age Group,Elderly,aged,20070305
C0001792,1,Age Group,Elderly,Old age,20070305
C0001792,2,Age Group,Elderly,elderly age,20070305
C0001800,0,Sign or Symptom,Ageusia,Loss of taste (finding),20070305
C0001800,1,Sign or Symptom,Ageusia,Loss of taste,20070305
C0001807,0,Individual Behavior,Aggressive behavior,Aggressive impulse,20070305
C0001807,1,Individual Behavior,Aggressive behavior,Aggression,20070305
C0001807,2,Individual Behavior,Aggressive behavior,Aggression to people & animal,20070305
C0001807,3,Mental or Behavioral Dysfunction,Aggressive behavior,Aggressive behavior (finding),20070305
C0001811,0,Organism Function,Aging,Aging change,20070305
C0001815,0,Neoplastic Process,Primary Myelofibrosis,일차뼈속질섬유증,20070305
C0001815,1,Neoplastic Process,Primary Myelofibrosis,Idiopathic Myelofibrosis,20070305
C0001816,0,Mental or Behavioral Dysfunction,Agnosia,Agnosia,20091202
C0001818,0,Mental or Behavioral Dysfunction,Agoraphobia,Agoraphobia (disorder),20070305
C0001824,0,Disease or Syndrome,Agranulocytosis,"Laboratory Abnormality, Granulocytopenia",20070305
C0001825,0,Mental or Behavioral Dysfunction,agraphia,agraphia,20140722
C0001849,0,Disease or Syndrome,AIDS Dementia Complex,Dementia Due To Human Immunodeficiency Virus Disease,20070305
C0001857,0,Disease or Syndrome,AIDS related complex,Acquired Immune Deficiency Syndrome-Related Complex,20070305
C0001861,0,Substance,Air,대기,20070305
C0001881,0,Manufactured Object,Aircraft,"Aircraft, device (physical object)",20070305
C0001883,0,Disease or Syndrome,Airway obstruction,Respiratory obstruction (disorder),20070305
C0001884,0,Organ or Tissue Function,Airway Resistance,Upper Airway Resistance Syndrom,20070305
C0001889,0,Mental or Behavioral Dysfunction,Akinetic Mutism,Akinetic Autism,20070305
C0001899,0,"Amino Acid, Peptide, or Protein",Alanine Transaminase,Alanine aminotransferase (substance),20070305
C0001899,1,"Amino Acid, Peptide, or Protein",Alanine Transaminase,ALT - alanine transaminase,20070305
C0001924,0,"Amino Acid, Peptide, or Protein",Albumins,alb - albumin,20070305
C0001924,1,"Amino Acid, Peptide, or Protein",Albumins,albumin,20070305
C0001940,0,Mental or Behavioral Dysfunction,Alcohol Amnestic Disorder,Alcohol-Induced Persisting Amnestic Disorder,20070305
C0001948,0,Individual Behavior,Alcohol consumption,alcohol drinking,20050610
C0001948,1,Individual Behavior,Alcohol consumption,alcohol smell,20050610
C0001948,2,Individual Behavior,Alcohol consumption,drunken stste,20050610
C0001948,3,Individual Behavior,Alcohol consumption,Drunkenness,20050610
C0001948,4,Individual Behavior,Alcohol consumption,알콜섭취,20050610
C0001948,5,Individual Behavior,Alcohol consumption,음주함,20050610
C0001948,6,Individual Behavior,Alcohol consumption,알콜섭취,20070305
C0001948,7,Individual Behavior,Alcohol consumption,Alcohol ingestion,20070305
C0001948,8,Individual Behavior,Alcohol consumption,Alcohol intake (observable entity),20070305
C0001948,9,Individual Behavior,Alcohol consumption,Alcohol use,20070305
C0001948,10,Individual Behavior,Alcohol consumption,daily alcohol intake,20070305
C0001948,11,Individual Behavior,Alcohol consumption,술드신다,20070305
C0001948,12,Individual Behavior,Alcohol consumption,술을 자주 마신다,20070305
C0001948,13,Individual Behavior,Alcohol consumption,drunken stste,20070305
C0001948,14,Individual Behavior,Alcohol consumption,"alcohol drinking, alcohol smell",20070305
C0001948,15,Individual Behavior,Alcohol consumption,Alcohol Drinking,20070305
C0001948,16,Individual Behavior,Alcohol consumption,AI - acohol intake,20070305
C0001948,17,Individual Behavior,Alcohol consumption,음주함,20070305
C0001948,18,Individual Behavior,Alcohol consumption,Drunkenness,20070305
C0001957,0,Disease or Syndrome,Alcohol Withdrawal Delirium,Delirium Tremens,20070305
C0001957,1,Disease or Syndrome,Alcohol Withdrawal Delirium,for evaluation delirium tremens,20070305
C0001957,2,Disease or Syndrome,Alcohol Withdrawal Delirium,alcohol delirium,20070305
C0001962,0,Organic Chemical,Ethanol,Ethyl alcohol (substance),20070305
C0001967,0,Food,Alcoholic beverages,Alcoholic beverage (substance),20070305
C0001969,0,Injury or Poisoning             ,Alcoholic Intoxication,alcoholic intoxication,20040507
C0001969,1,Mental or Behavioral Dysfunction,Alcoholic Intoxication,drunken  state,20070305
C0001969,2,Mental or Behavioral Dysfunction,Alcoholic Intoxication,Alcohol intoxication (disorder),20070305
C0001969,3,Mental or Behavioral Dysfunction,Alcoholic Intoxication,Acute Ethanol Intoxication,20070305
C0001972,0,Self-help or Relief Organization,Alcoholics Anonymous,금주모임,20070305
C0001973,0,Mental or Behavioral Dysfunction,Alcoholism            ,Alcohol dependence    ,20040507
C0001973,1,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",alcoholic abuse,20070305
C0001973,2,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",Alcoholism (disorder),20070305
C0001973,3,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",chronic alcoholics,20070305
C0001973,4,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",Chronic alcoholism NOS (disorder),20070305
C0001973,5,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",alcohol dependency,20070305
C0001973,6,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",dependence syndrome of alcohol,20070305
C0001973,7,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",chronic alcoholism,20070305
C0001973,8,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",chronic alcohol abuse,20070305
C0001973,9,Mental or Behavioral Dysfunction,"Alcoholic Intoxication, Chronic",chronic alcohol abuser,20070305
C0001975,0,Organic Chemical,Alcohols,alcohol,20070305
C0001975,1,Organic Chemical,Alcohols,Alcohol (substance),20070305
C0002018,0,Disease or Syndrome,Alexia,Alexia,20091204
C0002059,0,"Amino Acid, Peptide, or Protein",Alkaline phosphatase,AP - Alkaline phosphatase,20070305
C0002064,0,Pathologic Function,"Alkalosis, Respiratory",Respiratory Alkalosis,20070305
C0002103,0,Disease or Syndrome,Allergic Rhinitis,Allergic Rhinosinusitis,20070305
C0002103,1,Disease or syndrome,Allergic Rhinitis,AR - Allergic rhinitis,20070305
C0002103,2,Disease or syndrome,Allergic Rhinitis,r/o Allergic rhinitis,20070305
C0002103,3,Disease or Syndrome,Allergic Rhinitis,Atopic rhinitis (disorder),20070305
C0002123,0,Reptile,Alligators,alligator,20070305
C0002170,0,Pathologic Function,Alopecia,털빠짐증,20070305
C0002170,1,Pathologic Function,Alopecia,acute hair loss,20070305
C0002170,2,Pathologic Function,Alopecia,Baldness,20070305
C0002170,3,Pathologic Function,Alopecia,Hair Loss,20070305
C0002170,4,Sign or Symptom,Alopecia,Decreased body hair,20070305
C0002170,5,Sign or Symptom,Alopecia,Loss of hair,20070305
C0002170,6,Sign or Symptom,Alopecia,머리 빠짐,20070305
C0002170,7,Pathologic Function,Alopecia,abrupt hair loss,20070305
C0002170,8,Sign or Symptom,Alopecia,Alopecic,20070305
C0002171,0,Disease or Syndrome,alopecia areata,alopecia areata,20140722
C0002173,0,Disease or Syndrome,Follicular Mucinosis,Alopecia Mucinosa,20070305
C0002181,0,Disease or Syndrome,Syphilitic alopecia,Alopecia Syphilitica,20070305
C0002182,0,Disease or Syndrome,Traumatic alopecia,Traumatic Defect of the Scalp Alopecia,20070305
C0002182,1,Disease or Syndrome,Traumatic alopecia,Post Traumatic Alopecia,20070305
C0002210,0,"Amino Acid, Peptide, or Protein",alpha-Fetoproteins,AFP - alphafetoproteins,20070305
C0002210,1,"Amino Acid, Peptide, or Protein",alpha-Fetoproteins,alpha Fetoprotein (substance),20070305
C0002351,0,Disease or Syndrome,Altitude Sickness,High-Altitude Sickness,20070305
C0002382,0,Disease or Syndrome,Alveolar Bone Loss,치조골흡수,20070305
C0002387,0,Therapeutic or Preventive Procedure,Alveolar ridge Augmentation,"Augmentation, Alveolar Ridge",20070305
C0002390,0,Disease or Syndrome,Extrinsic allergic alveolitis,외인알레르기치조염,20070305
C0002390,1,Disease or Syndrome,Extrinsic allergic alveolitis,Hypersensitivity Pneumonitis,20070305
C0002395,0,Disease or Syndrome,Alzheimer's Disease,Alzheimer's,20070305
C0002395,1,Disease or Syndrome,Alzheimer's Disease,Dementia in Alzheimer's disease (disorder),20070305
C0002416,0,Finding,Ambidexterity,Ambidextrous (finding),20070305
C0002418,0,Disease or Syndrome,Amblyopia,Organic Amblyopia,20070305
C0002424,0,Health Care Related Organization,Ambulatory Care Facilities,OPD - outpatient department,20070305
C0002424,1,Manufactured Object,Ambulatory Care Facilities,Clinic,20070305
C0002447,0,Congenital Abnormality,Amelia,팔없음증,20070305
C0002447,1,Congenital Abnormality,Amelia,Other Type of Congenital Amputation,20070305
C0002448,0,Neoplastic Process,Ameloblastoma,Ameloblastoma Not Otherwise Specified,20070305
